                 MODEL                 DATA  wordsim353  mturk771  simverb3500dev  simverb3500test       men  Macro-average
0                  RAW  giga_window5-scaled    0.327831  0.143146       -0.068038        -0.066348  0.403760       0.148070
16        LSA500_TTEST  giga_window5-scaled    0.388339  0.437850        0.178031         0.115132  0.502908       0.324452
3              G200_1K  giga_window5-scaled    0.386980  0.470427        0.160683         0.105464  0.583675       0.341446
4             G200_10K  giga_window5-scaled    0.409664  0.482115        0.158270         0.111745  0.573883       0.347135
9     AE200_10Kd1_RETR  giga_window5-scaled    0.334832  0.410034        0.191980         0.210871  0.598369       0.349217
7         G200_1K_RETR  giga_window5-scaled    0.375152  0.438441        0.209254         0.180535  0.557643       0.352205
8        G200_10K_RETR  giga_window5-scaled    0.399826  0.455504        0.210704         0.185359  0.550007       0.360280
5          AE200_10Kd1  giga_window5-scaled    0.387888  0.477448        0.164375         0.177392  0.675196       0.376460
17   LSA500_TTEST_RETR  giga_window5-scaled    0.421239  0.477248        0.241301         0.235644  0.507770       0.376640
6          AE200_10Kd2  giga_window5-scaled    0.477755  0.522516        0.184915         0.190190  0.699911       0.415057
10    AE200_10Kd2_RETR  giga_window5-scaled    0.439992  0.486280        0.234446         0.265693  0.680661       0.421414
1           AE200_1Kd1  giga_window5-scaled    0.493569  0.570505        0.242577         0.222845  0.745978       0.455095
11     AE200_1kd1_RETR  giga_window5-scaled    0.471367  0.548945        0.278430         0.280540  0.731701       0.462196
2           AE200_1Kd2  giga_window5-scaled    0.549951  0.582893        0.246571         0.221474  0.739817       0.468141
22       LSA500_PPMID2  giga_window5-scaled    0.563213  0.589396        0.270528         0.214566  0.731978       0.473936
18         LSA500_PPMI  giga_window5-scaled    0.572391  0.589993        0.294157         0.232979  0.730633       0.484031
14              PPMID1  giga_window5-scaled    0.591688  0.581325        0.306978         0.239871  0.706676       0.485307
19       LSA500_PPMID1  giga_window5-scaled    0.568276  0.599770        0.294443         0.230995  0.750179       0.488733
12     AE200_1kd2_RETR  giga_window5-scaled    0.531060  0.575390        0.290525         0.307884  0.740381       0.489048
13                PPMI  giga_window5-scaled    0.604212  0.587155        0.316475         0.250925  0.696400       0.491033
15              PPMID2  giga_window5-scaled    0.590522  0.609254        0.311360         0.247677  0.712918       0.494346
20    LSA500_PPMI_RETR  giga_window5-scaled    0.559904  0.588887        0.346173         0.326339  0.730982       0.510457
21  LSA500_PPMID1_RETR  giga_window5-scaled    0.557960  0.595163        0.347850         0.325738  0.750420       0.515426
