                 MODEL                DATA  wordsim353  mturk771  simverb3500dev  simverb3500test       men  Macro-average
0                  RAW  giga_window20-flat    0.176563  0.196009       -0.015675         0.046552  0.215239       0.123738
3              G200_1K  giga_window20-flat    0.349789  0.402933        0.056089         0.051690  0.486057       0.269312
7         G200_1K_RETR  giga_window20-flat    0.324922  0.362401        0.109790         0.106522  0.446322       0.269991
8        G200_10K_RETR  giga_window20-flat    0.330304  0.373659        0.138768         0.124664  0.489773       0.291433
4             G200_10K  giga_window20-flat    0.364871  0.435168        0.088817         0.067488  0.533651       0.297999
9     AE200_10Kd1_RETR  giga_window20-flat    0.371253  0.408715        0.171093         0.193848  0.586722       0.346326
5          AE200_10Kd1  giga_window20-flat    0.401687  0.460332        0.121615         0.142004  0.632140       0.351556
16        LSA500_TTEST  giga_window20-flat    0.491066  0.493031        0.169025         0.127754  0.584644       0.373104
10    AE200_10Kd2_RETR  giga_window20-flat    0.450617  0.478020        0.245991         0.256853  0.652410       0.416778
18         LSA500_PPMI  giga_window20-flat    0.555447  0.487073        0.234918         0.160523  0.655327       0.418658
13                PPMI  giga_window20-flat    0.582573  0.495228        0.232637         0.158925  0.624885       0.418850
6          AE200_10Kd2  giga_window20-flat    0.492673  0.544573        0.202230         0.185615  0.676813       0.420381
22       LSA500_PPMID2  giga_window20-flat    0.558708  0.498305        0.237198         0.162374  0.662953       0.423908
17   LSA500_TTEST_RETR  giga_window20-flat    0.536031  0.516396        0.247516         0.240968  0.587420       0.425666
15              PPMID2  giga_window20-flat    0.587157  0.507723        0.241369         0.166956  0.637283       0.428097
1           AE200_1Kd1  giga_window20-flat    0.535410  0.554251        0.207920         0.182502  0.699966       0.436010
2           AE200_1Kd2  giga_window20-flat    0.552658  0.543189        0.237248         0.180167  0.676070       0.437866
19       LSA500_PPMID1  giga_window20-flat    0.582617  0.508020        0.244603         0.164431  0.693490       0.438632
11     AE200_1kd1_RETR  giga_window20-flat    0.505699  0.532712        0.243036         0.248274  0.693499       0.444644
14              PPMID1  giga_window20-flat    0.615723  0.514810        0.256390         0.172416  0.669964       0.445860
20    LSA500_PPMI_RETR  giga_window20-flat    0.548117  0.510187        0.282009         0.251506  0.663252       0.451014
23  LSA500_PPMID2_RETR  giga_window20-flat    0.555134  0.518503        0.285933         0.252880  0.671760       0.456842
12     AE200_1kd2_RETR  giga_window20-flat    0.524175  0.533551        0.288345         0.273387  0.677503       0.459392
21  LSA500_PPMID1_RETR  giga_window20-flat    0.583070  0.529570        0.292715         0.255514  0.698234       0.471821
