ItemId,IDE,Freq,ItemName,Ierarhie1,Ierarhie2,IsActive
545535,0,21248,YUVAL NOAH HARARI / SAPIENS. SCURTA ISTORIE A OMENIRII,1,17,1
398648,1,16058,REZERVE STILOU T10 BLUE LAMY SET,11,134,1
406083,2,13371,FELICITARI A 7331335123458,11,107,1
576732,3,11656,YUVAL NOAH HARARI / HOMO DEUS. SCURTA ISTORIE A VIITORULUI,1,17,1
563633,4,10381,MARK MANSON / ARTA SUBTILA A NEPASARII,1,48,1
486656,5,8592,ECKHART TOLLE / PUTEREA PREZENTULUI. ED. VI,1,48,1
258901,6,8341,TURTA DULCE TIP INIMIOARE,20,269,1
602874,7,7955,YUVAL NOAH HARARI / 21 DE LECTII PENTRU SECOLUL XXI,1,17,1
163219,8,7921,CARTI POSTALE (2 S DESIGN) #2000032105856,11,23,1
259150,9,7904,JELLY BEAN 75G FT GOURMET BOX F0075-0696F,20,161,1
524657,10,7886,DR. CLARISSA PINKOLA ESTES / FEMEI CARE ALEARGA CU LUPII. POVESTI SI MITURI ALE ARHETIPULUI FEMEII SALBATICE - I122,1,45,1
538942,11,7841,FREDRIK BACKMAN / UN BARBAT PE NUME OVE,1,0,1
213201,12,7815,ROBIN SHARMA / CALUGARUL CARE SI-A VANDUT FERRARI-UL,1,48,1
527499,13,7676,TIBI USERIU / 27 DE PASI,1,9,1
442042,14,7400,PEN FEATHER BLACK/WHITE ASSORTED / 4345,5,134,1
493855,15,7354,IRINA BINDER / FLUTURI VOL. 3,1,0,1
589207,16,7180,JORDAN B PETERSON / 12 REGULI DE VIATA,1,48,1
493941,17,7058,AGNES MARTIN-LUGAND / OAMENII FERICITI CITESC SI BEAU CAFEA,1,0,1
464299,18,7006,GARY CHAPMAN / CELE CINCI LIMBAJE ALE IUBIRII,1,48,1
563971,19,6953,FREDRIK BACKMAN / BUNICA MI-A ZIS SA-TI SPUN CA-I PARE RAU,1,0,1
213011,20,6773,DR. JOHN GRAY / BARBATII SUNT DE PE MARTE FEMEILE DE PE VENUS #2000000134321# 9789736451744,1,48,1
466968,21,6771,DR. KEVIN DUTTON SI ANDY MCNAB / ABC-UL PSIHOPATULUI DE SUCCES,1,45,1
347343,22,6726,M239 50G  LOVE & HAPPINESS FLAVOURED GREEN TEA,13,79,1
651356,23,6718,SACOSA BIO CARTURESTI,11,100,1
522568,24,6531,IRINA BINDER / INSOMNII,1,9,1
464841,25,6336,MEXICO / BOWS 50 MM / 1622-099,5,107,1
494123,26,6285,IRINA BINDER / FLUTURI (2 VOL) EDITIA A II-A,1,0,1
533559,27,6251,IRVIN YALOM / MINCIUNI PE CANAPEA (REEDITARE),1,0,1
376599,28,6192,KEVIN DUTTON / INTELEPCIUNEA PSIHOPATILOR,1,45,1
441453,29,6060,ARTHUR SCHOPENHAUER / ARTA DE A AVEA INTOTDEAUNA DREPTATE HARD-COVER,1,43,1
599979,30,6006,MICHELLE OBAMA / POVESTEA MEA,1,9,1
437080,31,5805,PEANUT ERASERS 48 PCS IN TUB / ER01,5,95,1
259151,32,5601,JELLY BEAN 75G FT BERRY BURST BOX F0075-0699F,20,161,1
188158,33,5579,MAGNETI - IMAGINI TURISTICE FORMAT 5x8 CM# 2000000284347,11,34,1
439986,34,5434,PAULA HAWKINS / FATA DIN TREN,1,0,1
523071,35,5425,JELLY BELLY BEAN BOOZLED CUTIE 45G,20,161,1
258391,36,5422,M112 REDBUSH ALMOND MARZIPAN 50G,13,79,1
597956,37,5311,POARTA-TE CA O DOAMNA GANDESTE CA UN BARBAT. CE CRED CU ADEVARAT BARBATII DESPRE DRAGOSTE RELATII INTIMITATE SI ANGAJAMENT - ED. 2 - CARTE,1,48,1
488966,38,5167,J. K. ROWLING / HARRY POTTER SI CAMERA SECRETELOR,1,121,1
429658,39,5153,1984 (SIGNET CLASSICS) / GEORGE ORWELL,0,0,1
258895,40,5143,TURTA DULCE POM DE CRACIUN,20,269,1
258898,41,5122,TURTA DULCE MOS CRACIUN MIC,20,269,1
213102,42,5106,J.D.SALINGER / DE VEGHE IN LANUL DE SECARA ED 2011# 9789734620319,1,0,1
455864,43,5072,Jelly Bean 50g Bag FlavoursMix Gourmet F0050-1231,20,161,1
