Train has 112 words that are not in GLOVE: ['pyrexia', 'mavoc', 'olisten', 'PDF', 'massimamente']...
[['pneumococcus', 'pyrexia'], 0]
[['pyrexia', 'pneumococcus'], 0]
[['beet', 'mavoc'], 0]
[['hat', 'olisten'], 0]
[['lion', 'PDF'], 0]
[['scarf', 'massimamente'], 0]
[['scarf', 'R'], 0]
[['shirt', 'brow-clutching'], 0]
[['bear', 'MP'], 0]
[['musket', 'UTC'], 0]
[['violin', 'UTC'], 0]
[['contraction', 'vasodilatation'], 0]
[['glycogenolysis', 'vasodilatation'], 0]
[['heart', 'vasodilatation'], 0]
[['vasoconstriction', 'vasodilatation'], 0]
[['vasodilatation', 'contraction'], 0]
[['vasodilatation', 'glycogenolysis'], 0]
[['vasodilatation', 'heart'], 0]
[['vasodilatation', 'vasoconstriction'], 0]
[['mug', 'peos'], 0]
[['shirt', 'majalises'], 0]
Dev has 40 words that are not in GLOVE: ['tenosynovitis', 'amikacin', 'Manx', 'Hmmm', 'T']...
[['antigen', 'tenosynovitis'], 0]
[['colitis', 'tenosynovitis'], 0]
[['corticosteroid', 'tenosynovitis'], 0]
[['depression', 'tenosynovitis'], 0]
[['effusion', 'tenosynovitis'], 0]
[['infection', 'tenosynovitis'], 0]
[['subluxation', 'tenosynovitis'], 0]
[['tenosynovitis', 'antigen'], 1]
[['tenosynovitis', 'colitis'], 0]
[['tenosynovitis', 'corticosteroid'], 1]
[['tenosynovitis', 'depression'], 0]
[['tenosynovitis', 'effusion'], 0]
[['tenosynovitis', 'infection'], 1]
[['tenosynovitis', 'subluxation'], 0]
[['amikacin', 'aminoglycosides'], 0]
[['amikacin', 'cephalosporin'], 0]
[['amikacin', 'chlortetracycline'], 0]
[['amikacin', 'fluoroquinolones'], 0]
[['aminoglycosides', 'amikacin'], 0]
[['cephalosporin', 'amikacin'], 0]
[['chlortetracycline', 'amikacin'], 0]
[['fluoroquinolones', 'amikacin'], 0]
[['strawberry', 'Manx'], 0]
[['hatchet', 'Hmmm'], 0]
[['ambulance', 'T'], 0]
[['apricot', 'sub-paragraph'], 0]
[['amikacin', 'chlortetracycline'], 0]
[['aminoglycosides', 'chlortetracycline'], 0]
[['cephalosporin', 'chlortetracycline'], 0]
[['chlortetracycline', 'amikacin'], 0]
[['chlortetracycline', 'aminoglycosides'], 0]
[['chlortetracycline', 'cephalosporin'], 0]
[['chlortetracycline', 'fluoroquinolones'], 0]
[['fluoroquinolones', 'chlortetracycline'], 0]
[['cabbage', 'Madame'], 0]
[['coat', 'airbrush-tanning'], 0]
[['death', 'hemoconcentration'], 0]
[['delirium', 'hemoconcentration'], 0]
[['depression', 'hemoconcentration'], 0]
[['exhaustion', 'hemoconcentration'], 0]
[['hemoconcentration', 'death'], 0]
[['hemoconcentration', 'delirium'], 0]
[['hemoconcentration', 'depression'], 0]
[['hemoconcentration', 'exhaustion'], 0]
[['crow', 'Marxism'], 0]
[['spade', 'SSA'], 0]
